,Comments
6410,Thank you.. I&#39;m indonesian in Jakarta and confirm this report is actual... Great Job...
6411,Not enough testing in Indonesia. Take the infection numbers with a grain of salt.
6412,"Oh the irony, the Indonesian bio farma board chose Pfizer over Sinovac, while the majority of Indonesian is not allowed to choose their vaccine product."
6413,Can you list the 14 countries bern ban by Indonesia??
6414,"WE HAVE MANY VACCINES NOWADAYS SINOVAC- NOVAVAX &amp; WHAT NEXT-DOOR  WE JUST WAITING FOR ITS<a href=""about:invalid#zCSafez""></a>"
6415,Indonesia are doing well. Covid-19 still in control.  The death rate is low.  The GDP grow to 4.5% in 2021. Well done current Indonesia Government.  Foeign Direct Investment FDI to Indonesia rose 14%.
6416,ridiculous - omicron is a sore throat - I had it - drama drama drama....
6417,More jabs. Please give us more jabs. We will surely jab our way out of this pandemic. What can go wrong?
6418,"Dear DW Team, it is INDONESIA not INDONISIA. Sure, a minor typo, but surely for a well reputed news channel you could hire a better person to do their job, right?"
6419,Mohammad will help them with. HeHeHe
6420,"Thank you God for discernment.  My body itself fought off the virus, without that &quot;stick&quot; in the arm . God is my physician!!!!🙌"
6421,Booster is not the cure !!
6422,"By the time they create a booster against omicron, covid would mutate into pokemon"
6423,Omicron is smarter than all these corrupt tyrannical politicians😂🤣👍
6424,A shortage of tests seems to be something that every country is experiencing. I&#39;m surprised that this long into the pandemic and we are still seeing shortages.
6425,"If the booster inforces our immune response as stated, why are cass still skyrocketing?"
6426,We warned this earlier<br> ...And they called us &#39;conspiracy theorists&#39;
6427,Don&#39;t you love how the virus crosses boarders without a pass.
6428,"The contents of the boosters is the same as the original vaccines, mRNA is the same, only dosage differs. Therefore it&#39;s not about varients, the vaccines don&#39;t last."
6429,"In China since the start of pandemic coronavirus has a parallel incident in Africa that Omicron is over now. It may happens to other countries as well, as in the case of America that contracts Omicron and being considered as epicenter again."
6430,"I notice that they do not aspirate when giving injections. Also, if the vaccines are very efficient, why do they have to continually have boosters?<br>🤔"
6431,God people must be protected. Lord 🙏🏼 we ask for your Healing powers over your chosen people and for everyone who is fighting this Virus. Prayers for Israel. God bless us.. everyone!
6432,Vaccines are important.. but only focusing it so much.. makes the mutants much harder complicated strong after a period of time .. Immunsysteme is also bombared with hormones.. so many people were before Covid mentally sick &amp; depressed.. or stressed work .. we still have no solution for it except medication 😑same twist vaccines didn’t help for solution
6433,How come no one talks about all those who are now naturally immune because they were infected. This is fantastic news. Why doesn&#39;t anyone celebrate it?
6434,"No one question, Israel is highest rate vaccine population!!! We need to move to preventive methods."
6435,Nowadays we like to do same action but hoping for different outcome..
6436,"The very same is happening in Brazil right now: omicron cases are skyrocketing (aside with the Influenza A - H3N2, which is also quite infective, leading to many cases of &#39;flurona&#39;...)."
6437,I suggest we all get booster 3 4 5 6 7  8 9 and 10 at one time to be ahead of the virus. I think it will be a great idea.
6438,&quot; Underlying conditions&quot; is far too broad to be useful information. It can be anything from inconsequential mild asthma to being 90 with dementia. Even diabetes or &#39; overweight&quot; are not definable categories that are helpful. Mild type 2 diabetes vs insulin dependent diabetes. 20 lbs overweight vs morbid obesity..  &quot; underlying conditions&quot; could capture almost anyone over age 30 if defined broadly enough. Yet that&#39;s what we&#39;ve heard all along and we are left to define it by our own assumptions...
6439,A wave in the most vaccinated country in the world.<br>Shouldn&#39;t this be happening in lesser vaccinated countries?<br>For some reason they&#39;re going perfectly with their lives.
6440,So whats next... a mandatory 5th booster shot??<br>As a footnote Science do NOT SAY &quot;more boosters are better&quot; it could it could be but might not be.
6441,"If omicron cases are skyrocketing in a country where most of their citizens are vaccinated and have taken also booster, then what is the efficacy of the vaccine and the boosters against omicron?"
6442,Maybe they should get another booster… since the previous shots helped
6443,In the Philippines it spread in less than a week that explains why incubation period is just 2 days
6444,"How many boosters until the body responds negatively to constant stimulation of the immune system?  My coworker was fine with her first and second dose. After the booster, she developed hives over parts of her body that have subsided and resurfaced for the last six weeks...on her arms, chest, under the hair. It seems to be an immune response and her body has finally had enough. Multiple boosters this close together have not been researched for safety...it&#39;s all a guessing game and doesn&#39;t seem to have been terribly effective for Israel."
